Name,Nation,Position,Club,Age,GK Rating,DL Rating,DC Rating,DR Rating,DM Rating,ML Rating,MC Rating,MR Rating,AML Rating,AMC Rating,AMR Rating,FS Rating,TS Rating,Unique ID,Вибір
"Vazquez, Lucas",Испания,D/WB/AM R,R. Madrid,32,36.30%,65.42%,56.43%,80.89%,61.98%,63.92%,62.20%,79.90%,63.92%,58.38%,78.71%,62.35%,59.12%,67135344,0
"Mavropanos, Konstantinos",Греция,D RC,West Ham,25,31.91%,63.06%,80.89%,77.31%,72.17%,58.21%,58.87%,58.21%,58.21%,52.88%,58.21%,63.07%,67.52%,36116501,0
"Badiashile, Benoit",Франция / ДР Конго,D C,Chelsea,22,34.34%,61.68%,80.88%,61.68%,71.62%,56.53%,58.37%,56.53%,56.53%,52.24%,56.53%,54.81%,59.47%,49038942,0
"Munoz, Aihen",Испания / Страна Басков,D/WB L,Real San Sebastian,25,33.83%,80.88%,57.73%,64.70%,61.02%,61.42%,61.56%,61.42%,61.42%,55.89%,61.42%,58.55%,56.37%,67246383,0
Taty Castellanos,Аргентина / США,ST,Lazio,24,33.15%,55.87%,52.37%,55.87%,56.68%,70.02%,59.29%,70.02%,75.55%,71.30%,75.55%,80.78%,80.88%,75042244,0
Guilherme Arana,Бразилия,D/WB/M L,ATM,26,35.51%,80.87%,55.06%,64.70%,61.71%,79.79%,62.78%,65.08%,77.02%,60.54%,65.08%,63.09%,58.55%,19232508,0
"Sancet, Oihan",Испания / Страна Басков,AM C,A. Bilbao,23,39.20%,63.22%,58.70%,63.22%,74.70%,65.88%,80.87%,65.88%,65.88%,79.54%,65.88%,66.15%,62.67%,67260204,0
"Bernat, Juan",Испания,D/WB/AM L,Benfica,30,35.09%,78.52%,53.19%,62.82%,60.12%,80.85%,63.06%,65.95%,80.85%,61.28%,65.95%,63.51%,58.60%,67103536,0
"Zouma, Kurt",Франция / ЦАР,D RC,West Ham,28,32.37%,61.30%,80.85%,75.15%,71.00%,54.64%,54.95%,54.64%,54.64%,47.10%,54.64%,53.16%,59.95%,85075595,0
"Truffert, Adrien",Франция,D/M L,Rennes,21,34.34%,80.85%,55.97%,64.68%,60.26%,77.84%,61.56%,63.49%,76.66%,58.16%,63.49%,60.92%,57.24%,49050736,0
"Dimitrievski, Stole",Северная Македония / Испания,GK,Vallecano,29,80.81%,43.60%,46.69%,43.60%,46.25%,43.05%,44.97%,43.05%,43.05%,40.08%,43.05%,41.62%,44.31%,47022611,0
"Skhiri, Ellyes",Тунис / Франция,DM,Eintracht Frankfurt,28,33.01%,66.54%,75.34%,79.32%,80.80%,73.00%,79.58%,74.87%,67.82%,68.11%,69.32%,62.06%,62.04%,85126092,0
"Simeone, Giovanni",Аргентина / Испания,ST,Parthenope,28,28.81%,54.62%,51.73%,54.62%,56.07%,66.33%,58.22%,67.23%,71.49%,56.79%,72.62%,79.08%,80.79%,14031138,0
Patric,Испания,D C,Lazio,30,35.38%,78.03%,80.77%,78.50%,63.38%,69.00%,61.24%,69.51%,63.95%,54.15%,68.43%,56.66%,58.61%,67100019,0
Tiquinho Soares,Бразилия / Португалия,ST,BOT,32,29.60%,55.06%,55.37%,55.06%,56.66%,60.10%,57.49%,60.10%,60.10%,56.36%,60.10%,78.23%,80.77%,19090895,0
"Mendes, Nuno",Португалия / Кабо-Верде,D/WB L,Paris SG,21,34.79%,80.76%,69.00%,64.61%,60.03%,78.00%,60.97%,63.92%,71.99%,58.92%,63.92%,62.31%,58.67%,83261910,0
"Frattesi, Davide",Италия,M C,Inter,23,37.02%,64.50%,59.56%,64.50%,76.10%,66.97%,80.74%,66.97%,66.97%,76.88%,66.97%,68.11%,65.99%,43272557,0
"Tapsoba, Edmond",Буркина Фасо,D C,Bayer 04,24,42.14%,64.07%,80.74%,76.38%,75.79%,59.11%,72.82%,59.11%,59.11%,55.50%,59.11%,57.78%,59.49%,13196616,0
"Veltman, Joel",Голландия,D RC,Brighton,31,36.40%,64.82%,80.32%,80.74%,73.40%,59.51%,60.37%,70.94%,59.51%,53.94%,65.68%,56.54%,57.38%,37024733,0
"Orsolini, Riccardo",Италия,AM R,Bologna,26,30.11%,54.75%,49.73%,59.77%,54.45%,71.70%,66.28%,79.19%,77.51%,73.22%,80.74%,76.71%,74.85%,43162321,0
"Provedel, Ivan",Италия,GK,Lazio,29,80.73%,45.95%,46.55%,45.95%,48.64%,47.76%,49.72%,47.76%,47.76%,44.27%,47.76%,45.59%,49.11%,43094150,0
"Budimir, Ante",Хорватия,ST,Atletico Pamplona,31,31.55%,58.41%,59.70%,58.41%,59.01%,64.94%,59.03%,64.94%,69.90%,55.44%,69.90%,75.68%,80.73%,24003746,0
"El Shaarawy, Stephan",Италия / Египет / Венесуэла,"WB L, AM LC, F C",AS Roma,30,33.33%,68.63%,46.68%,57.57%,56.05%,80.15%,59.97%,76.99%,80.72%,77.49%,77.97%,79.89%,70.24%,43036636,0
"Quintero, Juan Fernando",Колумбия,AM RC,Racing Club,30,33.33%,53.05%,41.27%,53.05%,53.67%,77.24%,73.72%,79.44%,78.23%,80.72%,80.42%,64.10%,55.60%,76015366,0
"Turner, Matt",США / Литва,GK,Nottm Forest,29,80.71%,42.22%,43.17%,42.22%,43.50%,40.78%,41.86%,40.78%,40.78%,38.49%,40.78%,39.95%,41.39%,72046884,0
"Unal, Enes",Турция,ST,Bournemouth,26,31.17%,54.88%,51.02%,54.88%,55.21%,69.51%,58.43%,69.51%,75.08%,73.13%,75.08%,80.71%,79.57%,70087488,0
"Galan, Javi",Испания,D/WB L,Real San Sebastian,28,35.32%,80.71%,53.58%,64.79%,59.96%,76.49%,60.68%,63.00%,73.94%,56.65%,63.00%,60.64%,56.06%,67243881,0
"Reijnders, Tijjani",Голландия / Индонезия,"DM, AM C",AC Milan,24,36.43%,63.54%,54.26%,63.54%,76.19%,80.15%,80.71%,80.63%,79.62%,76.90%,80.15%,65.06%,61.47%,37071126,0
"Mazraoui, Noussair",Марокко / Голландия,"D/WB RL, DM, M RC",FC Bayern,25,34.46%,79.83%,66.93%,80.71%,75.85%,77.45%,77.93%,79.65%,77.45%,72.20%,78.43%,62.95%,59.64%,37052470,0
"Benitez, Walter",Аргентина / Франция,GK,PSV,30,80.70%,43.15%,43.64%,43.15%,48.09%,46.74%,48.07%,46.74%,46.74%,44.05%,46.74%,44.43%,48.22%,14035968,0
"Grbic, Ivo",Хорватия,GK,Sheff Utd,27,80.70%,43.57%,49.86%,43.57%,46.60%,41.11%,43.25%,41.11%,41.11%,36.99%,41.11%,39.21%,46.07%,24039943,0
"Sabitzer, Marcel",Австрия,"DM, AM C",Borussia Dortmund,29,35.23%,78.24%,58.12%,78.24%,78.22%,78.06%,80.69%,78.06%,78.06%,73.41%,78.06%,76.80%,74.19%,16045721,0
"Al-Dawsari, Salem",Саудовская Аравия,AM RL,Al-Hilal (KSA),31,31.12%,55.62%,44.67%,55.62%,54.96%,80.41%,59.82%,79.13%,80.68%,71.87%,79.13%,65.45%,59.07%,23168001,0
"Aurier, Serge",Кот-д'Ивуар,D/WB R,Galatasaray,30,34.19%,78.76%,70.76%,80.68%,71.10%,63.08%,61.91%,75.20%,63.08%,56.91%,69.62%,61.15%,60.55%,85057643,0
"Lopez, Maxime",Франция / Алжир,"DM, AM C",Fiorentina,25,36.37%,64.56%,53.11%,64.56%,78.18%,64.29%,80.66%,64.29%,64.29%,75.50%,64.29%,62.21%,54.65%,85140254,0
"Jovic, Luka",Сербия,ST,AC Milan,25,30.64%,53.54%,49.65%,53.54%,53.87%,70.39%,57.80%,70.39%,76.03%,73.81%,76.03%,80.65%,79.20%,62113639,0
"Minamino, Takumi",Япония,AM LC,AS Monaco,28,34.79%,59.25%,47.67%,59.25%,57.95%,79.29%,74.70%,79.29%,80.65%,76.82%,79.29%,78.80%,71.28%,45064891,0
"Carnesecchi, Marco",Италия,GK,Atalanta,23,80.64%,44.20%,43.98%,44.20%,45.86%,43.31%,44.41%,43.31%,43.31%,38.64%,43.31%,41.14%,44.13%,43298002,0
"Soteldo, Yeferson",Венесуэла,"AM L, ST",GRE,26,30.70%,54.95%,39.84%,54.95%,53.92%,74.18%,59.57%,71.98%,80.63%,75.87%,77.88%,79.25%,67.78%,86040729,0
"Defrel, Gregoire",Франция / Мартиника,ST,Sassuolo,32,30.38%,52.78%,42.32%,52.78%,53.72%,69.77%,58.44%,70.08%,75.55%,74.35%,75.93%,80.63%,73.18%,43070623,0
"Behrens, Kevin",Германия,ST,VfL Wolfsburg,32,30.76%,55.77%,56.60%,55.77%,57.09%,70.50%,57.53%,70.50%,72.17%,66.22%,72.17%,75.68%,80.63%,91103807,0
"Abraham, Tammy",Англия / Нигерия,ST,AS Roma,25,30.76%,58.04%,55.21%,58.04%,57.92%,63.77%,60.15%,63.77%,63.77%,59.80%,63.77%,80.63%,80.41%,28097985,0
Paulinho,Португалия,ST,Sporting CP,30,34.33%,58.77%,55.19%,58.77%,59.44%,76.85%,61.53%,73.12%,78.66%,61.19%,78.66%,80.63%,79.83%,55060769,0
"Reguilon, Sergio",Испания,D/WB L,Brentford,26,34.34%,80.62%,66.44%,64.50%,60.90%,76.09%,61.20%,62.36%,75.29%,56.92%,62.36%,61.01%,58.49%,67211900,0
"Kalajdzic, Sasa",Австрия / Сербия,AM/F C,Eintracht Frankfurt,26,30.73%,54.66%,54.85%,54.66%,56.42%,73.05%,58.14%,61.27%,73.05%,71.54%,61.27%,77.55%,80.61%,16197824,0
"Palmer, Cole",Англия,AM RLC,Chelsea,21,31.80%,56.68%,46.69%,56.68%,55.28%,73.46%,72.75%,74.15%,79.73%,78.11%,80.60%,78.57%,71.02%,28120042,0
"Beltran, Lucas",Аргентина / Италия,ST,Fiorentina,22,33.40%,57.37%,52.16%,57.37%,57.63%,70.66%,60.60%,70.66%,76.45%,72.07%,76.45%,80.60%,79.13%,14217414,0
"Sangare, Ibrahim",Кот-д'Ивуар,DM,Nottm Forest,25,35.24%,65.75%,65.18%,65.75%,80.60%,61.78%,78.72%,61.78%,61.78%,67.14%,61.78%,59.40%,63.47%,48042717,0
"Varela, Alan",Аргентина,DM,FC Porto,22,37.71%,66.20%,57.99%,66.20%,80.42%,63.75%,80.59%,63.75%,63.75%,60.31%,63.75%,62.25%,58.78%,14241914,0
"Djimsiti, Berat",Албания / Швейцария,D C,Atalanta,30,35.20%,74.25%,80.58%,74.25%,59.14%,53.10%,55.32%,53.10%,53.10%,47.06%,53.10%,50.80%,56.87%,98015432,0
"Montipo, Lorenzo",Италия,GK,Hellas Verona,27,80.57%,44.44%,46.81%,44.44%,46.89%,44.74%,45.64%,44.74%,44.74%,42.30%,44.74%,44.60%,46.79%,43124226,0
"Janssen, Vincent",Голландия,ST,Antwerp,29,32.11%,53.30%,52.08%,53.30%,56.37%,61.09%,58.99%,61.09%,61.09%,70.38%,61.09%,79.12%,80.57%,37018783,0
"Mingueza, Oscar",Испания,D RC,Vigo,24,35.35%,78.25%,75.93%,80.57%,72.90%,60.59%,60.42%,72.72%,60.59%,54.23%,67.26%,57.94%,59.37%,67245413,0
"Chabot, Jeff",Германия / Франция,D C,1. FC Koln,25,33.42%,71.15%,80.56%,72.06%,70.46%,52.88%,65.50%,52.88%,52.88%,46.87%,52.88%,51.17%,57.71%,91177332,0
"Sutalo, Josip",Хорватия / Босния,D C,Ajax,23,35.33%,64.27%,80.55%,76.62%,61.27%,58.07%,58.94%,58.07%,58.07%,53.69%,58.07%,55.98%,57.60%,24058106,0
Matheus Cunha,Бразилия,"AM RLC, F C",Wolves,24,29.20%,53.84%,47.58%,53.84%,52.72%,75.50%,57.04%,76.46%,78.31%,75.54%,77.64%,80.55%,76.46%,19334410,0
"Pepe, Nicolas",Кот-д'Ивуар / Франция,AM RL,Trabzonspor,28,33.14%,53.91%,42.75%,53.91%,52.91%,77.80%,57.80%,77.80%,79.35%,62.69%,80.55%,77.31%,69.84%,85136376,0
"Tarkowski, James",Англия / Польша,D C,Everton,30,33.68%,64.15%,80.54%,76.48%,73.05%,57.27%,59.30%,57.27%,57.27%,52.36%,57.27%,55.61%,58.08%,29055569,0
"Ziyech, Hakim",Марокко / Голландия,AM RLC,Galatasaray,30,32.30%,55.23%,46.60%,55.23%,55.50%,79.33%,73.34%,79.33%,79.33%,78.24%,80.53%,76.22%,70.17%,37040604,0
"Soler, Carlos",Испания,AM RC,Paris SG,26,36.02%,63.00%,56.70%,76.48%,74.74%,78.77%,78.17%,80.53%,78.77%,75.41%,80.22%,63.88%,61.53%,67196204,0
"Simons, Xavi",Голландия / Испания / Суринам,AM C,RB Leipzig,20,33.27%,60.61%,50.81%,60.61%,71.29%,79.67%,78.11%,79.67%,80.52%,79.60%,80.52%,80.40%,72.92%,67288555,0
"Silva, Andre",Португалия,ST,Real San Sebastian,27,30.51%,55.73%,53.82%,55.73%,56.53%,75.68%,59.50%,75.68%,76.65%,73.35%,76.65%,80.46%,80.52%,55041694,0
"Majer, Lovro",Хорватия,AM RC,VfL Wolfsburg,25,34.88%,61.56%,49.24%,61.56%,71.36%,78.94%,77.79%,80.51%,78.94%,78.36%,80.51%,74.26%,66.10%,24053458,0
"Miranchuk, Alexey",Россия,"AM RC, F C",Atalanta,27,32.84%,58.57%,47.97%,58.57%,67.56%,71.49%,73.11%,79.41%,77.22%,79.11%,80.39%,80.50%,72.49%,58092242,0
"Szymanski, Sebastian",Польша,AM RLC,Fenerbahce,24,33.70%,63.11%,51.72%,63.11%,70.82%,79.27%,79.97%,79.27%,80.49%,77.75%,80.49%,77.89%,71.43%,96088503,0
"Dia, Boulaye",Сенегал / Франция,ST,Salernitana,26,30.69%,51.35%,44.14%,51.35%,50.97%,70.11%,55.28%,69.46%,75.96%,74.90%,75.16%,80.49%,74.32%,50065334,0
"Retegui, Mateo",Италия / Аргентина,ST,Genoa,24,31.97%,56.23%,53.75%,56.23%,57.62%,62.03%,59.18%,62.03%,62.03%,58.12%,62.03%,79.44%,80.48%,14180903,0
"McGinn, John",Шотландия,AM RLC,Aston Villa,28,34.33%,65.32%,57.87%,65.32%,76.10%,79.83%,79.74%,79.83%,80.47%,72.74%,80.47%,63.92%,62.39%,61043070,0
"Haidara, Amadou",Мали,DM,RB Leipzig,25,36.89%,78.24%,58.30%,79.24%,78.84%,78.07%,80.46%,78.90%,78.07%,73.67%,78.07%,62.76%,60.29%,16199711,0
"Alena, Carles",Испания,AM C,Getafe,25,31.26%,56.14%,47.44%,56.14%,65.39%,78.31%,77.36%,77.73%,77.73%,80.46%,78.83%,76.01%,68.04%,67213011,0
"Mittelstadt, Maximilian",Германия,D/WB L,VfB Stuttgart,26,31.83%,80.45%,67.26%,76.72%,70.86%,74.77%,71.11%,71.91%,73.98%,54.88%,71.91%,57.58%,56.30%,91143714,0
"Gorriaran, Fernando",Уругвай,M RLC,Tigres,28,36.89%,63.79%,54.15%,63.79%,74.67%,79.17%,78.53%,80.44%,76.42%,60.99%,78.80%,63.87%,57.53%,78064824,0
"Nelson, Reiss",Англия / Зимбабве,AM RL,Arsenal,23,31.92%,55.84%,44.17%,55.84%,54.51%,78.90%,58.93%,79.24%,80.44%,73.17%,80.44%,75.35%,67.61%,28107919,0
"Stanciu, Nicolae",Румыния,AM RC,Damac,30,33.15%,56.41%,45.64%,56.41%,66.34%,77.49%,73.84%,79.16%,78.79%,79.51%,80.43%,65.00%,57.37%,57050464,0
"Mario, Joao",Португалия / Ангола,AM RLC,Benfica,30,32.20%,54.70%,46.60%,54.70%,65.44%,80.43%,74.90%,80.43%,80.43%,78.87%,79.79%,64.69%,58.54%,55022391,0
"Hysaj, Elseid",Албания,D/WB RL,Lazio,29,36.02%,79.86%,71.24%,80.42%,60.72%,71.98%,59.90%,72.52%,66.71%,54.27%,67.14%,58.87%,59.03%,43083951,0
"Aguilar, Ruben",Франция / Испания,D/WB R,RC Lens,30,33.71%,77.68%,66.26%,80.42%,60.82%,62.72%,61.24%,76.15%,62.72%,56.58%,70.33%,60.13%,57.57%,85046582,0
Carlos Augusto,Бразилия / Италия,D/WB/M L,Inter,24,34.34%,80.42%,70.94%,64.34%,60.88%,80.18%,62.47%,64.85%,73.87%,59.62%,64.85%,62.64%,60.48%,19350649,0
"Ward-Prowse, James",Англия,"DM, AM C",West Ham,28,34.76%,64.35%,52.70%,77.69%,77.71%,76.48%,80.41%,77.88%,76.48%,72.49%,77.88%,61.29%,57.64%,29076100,0
"Lo Celso, Giovani",Аргентина / Италия,"DM, AM LC",Tottenham,27,34.15%,61.16%,52.99%,61.16%,73.97%,80.41%,79.12%,75.30%,74.04%,77.22%,69.96%,63.00%,59.03%,14108651,0
Rodrigo,Испания / Бразилия,"AM RLC, F C",Al-Rayyan,32,27.42%,52.71%,45.66%,52.71%,52.30%,71.87%,69.12%,71.87%,77.92%,75.54%,77.92%,80.41%,75.05%,67086280,0
"Eustaquio, Stephen",Канада / Португалия,DM,FC Porto,26,36.35%,62.61%,54.26%,62.61%,76.49%,65.90%,80.40%,74.75%,65.90%,70.76%,69.69%,64.95%,60.78%,55079798,0
"Schjelderup, Andreas",Норвегия,"AM L, ST",FC Nordsj?lland,19,32.46%,53.54%,42.39%,53.54%,53.58%,78.49%,70.55%,64.32%,80.40%,76.64%,64.32%,78.72%,68.44%,2000020287,0
"Pinamonti, Andrea",Италия,ST,Sassuolo,24,31.35%,53.25%,50.76%,53.25%,55.41%,61.27%,58.25%,61.27%,61.27%,59.31%,61.27%,80.04%,80.39%,43252773,0
"Khedira, Rani",Германия / Тунис,DM,Union Berlin,29,35.89%,65.47%,78.48%,65.47%,80.38%,58.35%,76.34%,58.35%,58.35%,52.69%,58.35%,56.52%,59.33%,92017509,0
David Garcia,Испания / Страна Басков,D C,Atletico Pamplona,29,36.42%,60.80%,80.37%,60.80%,69.96%,53.04%,55.53%,53.04%,53.04%,47.32%,53.04%,50.67%,56.08%,67215230,0
Marcao,Бразилия,D C,Sevilla,27,35.39%,72.13%,80.37%,63.59%,72.10%,58.88%,60.57%,58.88%,58.88%,53.96%,58.88%,56.50%,58.96%,19190440,0
"Hojlund, Rasmus",Дания,ST,Man UFC,20,29.30%,56.77%,52.08%,56.77%,56.82%,63.34%,59.37%,63.34%,63.34%,58.32%,63.34%,80.04%,80.37%,27160181,0
"Tagliafico, Nicolas",Аргентина / Италия,D/WB/M L,OL,30,33.75%,80.37%,76.06%,64.29%,74.24%,74.33%,60.86%,60.37%,71.97%,54.02%,60.37%,56.61%,59.04%,14008030,0
Bruma,Португалия / Гвинея-Бисау,AM RL,BRG,28,31.58%,56.38%,42.82%,56.38%,53.79%,78.45%,58.62%,76.64%,80.36%,73.68%,78.82%,75.73%,66.59%,55026952,0
"Coquelin, Francis",Франция / Реюньон,"DM, M RC",Villarreal,32,36.56%,78.38%,63.35%,78.38%,80.35%,72.57%,79.07%,76.46%,67.34%,56.13%,70.45%,59.89%,60.69%,34012022,0
"Darder, Sergi",Испания,DM,Mallorca,29,39.15%,64.40%,58.76%,64.40%,78.10%,64.27%,80.35%,64.27%,64.27%,61.58%,64.27%,62.33%,59.03%,67118372,0
"Sallai, Roland",Венгрия,AM RLC,SC Freiburg,26,33.35%,57.27%,51.21%,57.27%,55.45%,77.61%,71.64%,78.81%,78.81%,75.72%,80.35%,76.57%,72.90%,38039385,0
"Petrovic, Dorde",Сербия,GK,Chelsea,23,80.33%,43.78%,46.02%,43.78%,46.68%,43.66%,45.46%,43.66%,43.66%,41.95%,43.66%,43.39%,45.20%,62216198,0
"de Vrij, Stefan",Голландия,D C,Inter,31,36.10%,63.77%,80.31%,74.84%,62.29%,58.65%,59.97%,58.65%,58.65%,54.41%,58.65%,57.16%,60.12%,37001814,0
"Damsgaard, Mikkel",Дания,AM RLC,Brentford,23,32.17%,56.24%,44.45%,56.24%,54.64%,79.11%,72.49%,79.11%,80.31%,77.67%,79.44%,76.81%,67.17%,27128917,0
"Solanke, Dominic",Англия / Нигерия,ST,Bournemouth,25,33.53%,58.97%,53.54%,58.97%,58.54%,69.13%,60.39%,63.49%,74.51%,71.06%,63.49%,80.31%,79.13%,29125191,0
"Pereira, Ricardo",Португалия / Кабо-Верде,D/WB RL,Leicester,29,35.82%,79.44%,55.28%,80.31%,74.91%,70.06%,76.29%,76.64%,75.68%,70.73%,76.64%,70.66%,65.81%,55062009,0
"Blanco, Ruben",Испания,GK,OM,27,80.30%,44.69%,43.89%,44.69%,47.71%,44.97%,46.88%,44.97%,44.97%,43.10%,44.97%,44.93%,45.51%,67156610,0
Igor,Бразилия,D LC,Brighton,25,35.79%,80.28%,79.14%,64.93%,61.66%,71.80%,59.90%,59.47%,66.36%,53.37%,59.47%,56.60%,59.15%,16199713,0
"Terrier, Martin",Франция,"AM RLC, F C",Rennes,26,32.79%,54.73%,49.53%,54.73%,55.01%,76.39%,69.84%,76.39%,78.65%,75.17%,77.47%,80.28%,76.54%,48042204,0
"March, Solly",Англия,WB/AM RL,Brighton,28,34.16%,75.57%,51.09%,75.11%,59.22%,79.41%,74.28%,79.41%,78.74%,71.92%,80.28%,61.13%,56.57%,29090530,0
"Odriozola, Alvaro",Испания / Страна Басков,D/WB R,Real San Sebastian,27,33.57%,76.00%,55.47%,80.28%,60.17%,62.78%,61.01%,62.78%,62.78%,57.14%,62.78%,59.42%,56.04%,67199408,0
"Poulsen, Yussuf",Дания / Танзания,"AM R, ST",RB Leipzig,29,31.17%,60.75%,59.12%,60.75%,60.30%,73.30%,60.56%,74.24%,74.24%,64.81%,75.38%,76.80%,80.26%,27051813,0
"Davies, Ben",Уэльс,D LC,Tottenham,30,33.98%,80.26%,76.15%,64.43%,61.53%,62.03%,61.87%,62.03%,62.03%,55.97%,62.03%,58.90%,60.21%,28049754,0
"Moreno, Alberto",Испания,D/WB/M L,Villarreal,31,33.47%,80.26%,54.38%,64.66%,60.93%,77.35%,62.13%,68.40%,74.89%,57.06%,73.72%,58.35%,55.53%,67150301,0
"Le Normand, Robin",Испания / Франция / Страна Басков,D C,Real San Sebastian,26,35.73%,62.93%,80.26%,62.93%,60.95%,56.21%,58.24%,56.21%,56.21%,51.18%,56.21%,53.75%,57.56%,48037162,0
"Szoboszlai, Dominik",Венгрия,AM RLC,Liverpool,22,31.59%,60.56%,50.58%,60.56%,72.05%,79.56%,78.22%,79.56%,80.23%,76.86%,80.23%,75.16%,68.99%,16202373,0
"Ginter, Matthias",Германия,D RC,SC Freiburg,29,35.25%,73.88%,80.23%,75.98%,73.41%,57.53%,70.46%,57.53%,57.53%,52.08%,57.53%,65.17%,70.44%,91107789,0
"McKennie, Weston",США,"WB R, M RC",Juventus,24,32.48%,65.72%,73.60%,77.13%,77.35%,78.47%,79.14%,80.22%,76.48%,69.94%,77.57%,63.09%,65.65%,72048035,0
"De Gea, David",Испания,GK,-,32,80.22%,44.62%,42.61%,44.62%,45.08%,45.03%,44.32%,45.03%,45.03%,41.17%,45.03%,43.53%,44.63%,67030171,0
Joao Pedro,Бразилия,"AM RLC, F C",Brighton,21,31.29%,56.62%,48.44%,56.62%,56.37%,73.83%,60.55%,73.60%,80.22%,75.90%,79.93%,80.09%,75.78%,19371552,0
"Oxlade-Chamberlain, Alex",Англия / Ямайка,AM RLC,Besiktas,29,31.29%,61.59%,52.07%,61.59%,59.68%,76.78%,77.52%,79.84%,80.22%,76.59%,80.22%,64.11%,59.23%,28046572,0
"Okafor, Noah",Швейцария / Нигерия,"AM RL, ST",AC Milan,23,30.17%,55.52%,49.15%,55.52%,54.75%,73.05%,58.56%,72.27%,79.33%,72.69%,78.36%,80.21%,76.38%,98040226,0
"Watkins, Ollie",Англия,"AM RL, ST",Aston Villa,27,32.56%,59.36%,51.41%,59.36%,58.40%,72.48%,61.07%,72.48%,78.58%,58.22%,78.58%,80.21%,79.28%,29110623,0
"Phillips, Kalvin",Англия / Ямайка / Ирландия,DM,West Ham,27,36.00%,67.00%,74.81%,67.00%,80.20%,63.10%,79.51%,63.10%,63.10%,67.97%,63.10%,60.76%,60.42%,29113879,0
"Forsberg, Emil",Швеция,AM RLC,New York,31,31.43%,58.36%,49.15%,58.36%,58.15%,79.21%,74.75%,78.01%,80.20%,77.90%,79.21%,78.57%,71.99%,93011051,0
"Pacheco, Fernando",Испания,GK,Espanyol,31,80.19%,43.97%,45.53%,43.97%,47.82%,45.02%,47.41%,45.02%,45.02%,43.54%,45.02%,44.51%,46.46%,67155103,0
Pau Lopez,Испания,GK,OM,28,80.19%,47.37%,47.42%,47.37%,49.81%,48.13%,49.28%,48.13%,48.13%,45.15%,48.13%,46.23%,48.14%,67178152,0
"Cambiaso, Andrea",Италия,D/WB/M RL,Juventus,23,35.56%,80.18%,55.34%,78.65%,70.97%,78.21%,74.11%,77.31%,72.98%,56.76%,72.98%,59.88%,56.92%,43339195,0
"Onuachu, Paul",Нигерия,ST,Trabzonspor,29,31.22%,55.45%,57.52%,55.45%,56.51%,59.16%,56.20%,59.16%,59.16%,54.63%,59.16%,74.64%,80.18%,27091941,0
"Karazor, Atakan",Германия / Турция,DM,VfB Stuttgart,26,37.18%,64.86%,79.82%,64.86%,80.17%,59.24%,77.06%,59.24%,59.24%,54.72%,59.24%,57.84%,60.64%,92074021,0
"Roerslev, Mads",Дания,D/WB R,Brentford,24,32.65%,74.54%,70.46%,80.16%,60.58%,62.13%,60.62%,75.02%,62.13%,57.34%,69.33%,59.04%,57.33%,27122563,0
"Maekawa, Daiya",Япония,GK,Kobe,28,80.16%,39.01%,40.87%,39.01%,39.60%,36.76%,38.65%,36.76%,36.76%,34.45%,36.76%,34.37%,35.47%,45096288,0
"Sarr, Pape Matar",Сенегал,DM,Tottenham,20,37.63%,64.25%,59.96%,64.25%,78.55%,76.41%,80.16%,76.41%,70.74%,74.18%,70.74%,63.66%,62.25%,12080051,0
Antony,Бразилия,AM R,Man UFC,23,31.75%,58.55%,44.48%,58.55%,56.39%,76.45%,72.02%,79.59%,78.25%,73.48%,80.16%,74.38%,65.97%,19338230,0
"Webster, Adam",Англия,D C,Brighton,28,35.18%,64.81%,80.14%,77.77%,62.02%,60.42%,61.99%,60.42%,60.42%,56.38%,60.42%,58.18%,59.21%,29080394,0
"Blas, Ludovic",Франция / Мартиника,AM RC,Rennes,25,36.20%,59.07%,49.96%,59.07%,70.78%,77.27%,77.04%,79.09%,79.09%,78.57%,80.14%,64.43%,58.91%,85142865,0
"Guehi, Marc",Англия / Кот-д'Ивуар,D C,Crystal Palace,22,35.66%,80.14%,79.53%,79.13%,74.07%,62.41%,62.16%,62.41%,62.41%,58.15%,62.41%,61.53%,61.30%,28108033,0
"Wilson, Harry",Уэльс,AM RLC,Fulham,26,31.43%,57.14%,44.20%,57.14%,55.17%,77.82%,71.40%,76.93%,78.93%,76.39%,80.13%,76.55%,66.92%,28094949,0
"Rulli, Geronimo",Аргентина / Италия,GK,Ajax,31,80.12%,41.45%,42.85%,41.45%,44.53%,42.91%,45.01%,42.91%,42.91%,40.11%,42.91%,40.42%,42.89%,14030119,0
"Misic, Josip",Хорватия,DM,Dinamo,29,31.49%,62.60%,59.28%,62.60%,78.42%,62.31%,80.12%,62.31%,62.31%,69.20%,62.31%,59.81%,60.14%,24038138,0
"Klostermann, Lukas",Германия,D RLC,RB Leipzig,27,34.40%,79.13%,76.33%,80.11%,60.96%,70.40%,59.70%,71.52%,65.32%,53.47%,66.21%,57.57%,58.68%,91134708,0
"Mukiele, Nordi",Франция / ДР Конго,D RC,Paris SG,25,34.17%,64.54%,77.72%,80.11%,72.43%,60.42%,71.05%,73.73%,60.42%,53.61%,68.04%,57.26%,59.37%,48034615,0
"Kahveci, Irfan Can",Турция,AM RLC,Fenerbahce,27,32.97%,54.50%,49.44%,54.50%,67.30%,77.37%,72.77%,77.37%,78.56%,77.11%,80.10%,74.93%,72.15%,70075229,0
